Column1.group;Column1.matches.match;Column1.matches.home;Column1.matches.homeColour;Column1.matches.away;Column1.matches.awayColour;Column1.matches.score.home;Column1.matches.score.away;Column1.matches.penaltyScore.home;Column1.matches.penaltyScore.away;Column1.matches.minutes;Column1.matches.actions.team;Column1.matches.actions.eventType;Column1.matches.actions.eventTime;Column1.matches.actions.addedTime;Columna1;Columna2;Columna3
Group A;4043690;Russia;#ff4e36;Saudi Arabia;white;5;0;0;0;90;home;goal;90;4:01;14/06/2018 17:00;14/06/2018 18:49;14/06/2018 18:45
Group A;4043690;Russia;#ff4e36;Saudi Arabia;white;5;0;0;0;90;home;shot on target;90;4:01;14/06/2018 17:00;14/06/2018 18:49;14/06/2018 18:45
Group A;4043690;Russia;#ff4e36;Saudi Arabia;white;5;0;0;0;90;home;goal;90;0:48;14/06/2018 17:00;14/06/2018 18:45;14/06/2018 18:45
Group A;4043690;Russia;#ff4e36;Saudi Arabia;white;5;0;0;0;90;home;shot on target;90;0:48;14/06/2018 17:00;14/06/2018 18:45;14/06/2018 18:45
Group A;4043690;Russia;#ff4e36;Saudi Arabia;white;5;0;0;0;90;home;shot off target;84;0:00;14/06/2018 17:00;14/06/2018 18:39;14/06/2018 18:39
Group A;4043690;Russia;#ff4e36;Saudi Arabia;white;5;0;0;0;90;away;shot on target;82;0:00;14/06/2018 17:00;14/06/2018 18:37;14/06/2018 18:37
Group A;4043690;Russia;#ff4e36;Saudi Arabia;white;5;0;0;0;90;away;shot off target;73;0:00;14/06/2018 17:00;14/06/2018 18:28;14/06/2018 18:28
Group A;4043690;Russia;#ff4e36;Saudi Arabia;white;5;0;0;0;90;home;goal;71;0:00;14/06/2018 17:00;14/06/2018 18:26;14/06/2018 18:26
Group A;4043690;Russia;#ff4e36;Saudi Arabia;white;5;0;0;0;90;home;shot on target;71;0:00;14/06/2018 17:00;14/06/2018 18:26;14/06/2018 18:26
Group A;4043690;Russia;#ff4e36;Saudi Arabia;white;5;0;0;0;90;home;shot on target;68;0:00;14/06/2018 17:00;14/06/2018 18:23;14/06/2018 18:23
Group A;4043690;Russia;#ff4e36;Saudi Arabia;white;5;0;0;0;90;home;shot on target;65;0:00;14/06/2018 17:00;14/06/2018 18:20;14/06/2018 18:20
Group A;4043690;Russia;#ff4e36;Saudi Arabia;white;5;0;0;0;90;home;shot on target;63;0:00;14/06/2018 17:00;14/06/2018 18:18;14/06/2018 18:18
Group A;4043690;Russia;#ff4e36;Saudi Arabia;white;5;0;0;0;90;away;shot off target;59;0:00;14/06/2018 17:00;14/06/2018 18:14;14/06/2018 18:14
Group A;4043690;Russia;#ff4e36;Saudi Arabia;white;5;0;0;0;90;home;shot off target;52;0:00;14/06/2018 17:00;14/06/2018 18:07;14/06/2018 18:07
Group A;4043690;Russia;#ff4e36;Saudi Arabia;white;5;0;0;0;90;home;goal;43;0:00;14/06/2018 17:00;14/06/2018 17:43;14/06/2018 17:43
Group A;4043690;Russia;#ff4e36;Saudi Arabia;white;5;0;0;0;90;home;shot on target;43;0:00;14/06/2018 17:00;14/06/2018 17:43;14/06/2018 17:43
Group A;4043690;Russia;#ff4e36;Saudi Arabia;white;5;0;0;0;90;away;shot off target;31;0:00;14/06/2018 17:00;14/06/2018 17:31;14/06/2018 17:31
Group A;4043690;Russia;#ff4e36;Saudi Arabia;white;5;0;0;0;90;away;shot off target;28;0:00;14/06/2018 17:00;14/06/2018 17:28;14/06/2018 17:28
Group A;4043690;Russia;#ff4e36;Saudi Arabia;white;5;0;0;0;90;home;shot on target;15;0:00;14/06/2018 17:00;14/06/2018 17:15;14/06/2018 17:15
Group A;4043690;Russia;#ff4e36;Saudi Arabia;white;5;0;0;0;90;home;goal;12;0:00;14/06/2018 17:00;14/06/2018 17:12;14/06/2018 17:12
Group A;4043690;Russia;#ff4e36;Saudi Arabia;white;5;0;0;0;90;home;shot on target;12;0:00;14/06/2018 17:00;14/06/2018 17:12;14/06/2018 17:12
Group A;4043690;Russia;#ff4e36;Saudi Arabia;white;5;0;0;0;90;home;shot on target;11;0:00;14/06/2018 17:00;14/06/2018 17:11;14/06/2018 17:11
Group A;4043690;Russia;#ff4e36;Saudi Arabia;white;5;0;0;0;90;home;shot on target;7;0:00;14/06/2018 17:00;14/06/2018 17:07;14/06/2018 17:07
Group A;4043690;Russia;#ff4e36;Saudi Arabia;white;5;0;0;0;90;away;shot on target;6;0:00;14/06/2018 17:00;14/06/2018 17:06;14/06/2018 17:06
Group A;4043691;Egypt;#ff4e36;Uruguay;#00b2ff;0;1;0;0;90;away;goal;89;0:00;15/06/2018 14:00;15/06/2018 15:44;15/06/2018 15:44
Group A;4043691;Egypt;#ff4e36;Uruguay;#00b2ff;0;1;0;0;90;away;shot on target;89;0:00;15/06/2018 14:00;15/06/2018 15:44;15/06/2018 15:44
Group A;4043691;Egypt;#ff4e36;Uruguay;#00b2ff;0;1;0;0;90;away;shot off target;88;0:00;15/06/2018 14:00;15/06/2018 15:43;15/06/2018 15:43
Group A;4043691;Egypt;#ff4e36;Uruguay;#00b2ff;0;1;0;0;90;away;shot on target;83;0:00;15/06/2018 14:00;15/06/2018 15:38;15/06/2018 15:38
Group A;4043691;Egypt;#ff4e36;Uruguay;#00b2ff;0;1;0;0;90;home;shot off target;81;0:00;15/06/2018 14:00;15/06/2018 15:36;15/06/2018 15:36
Group A;4043691;Egypt;#ff4e36;Uruguay;#00b2ff;0;1;0;0;90;home;shot on target;72;0:00;15/06/2018 14:00;15/06/2018 15:27;15/06/2018 15:27
Group A;4043691;Egypt;#ff4e36;Uruguay;#00b2ff;0;1;0;0;90;away;shot off target;70;0:00;15/06/2018 14:00;15/06/2018 15:25;15/06/2018 15:25
Group A;4043691;Egypt;#ff4e36;Uruguay;#00b2ff;0;1;0;0;90;away;shot off target;68;0:00;15/06/2018 14:00;15/06/2018 15:23;15/06/2018 15:23
Group A;4043691;Egypt;#ff4e36;Uruguay;#00b2ff;0;1;0;0;90;home;shot off target;56;0:00;15/06/2018 14:00;15/06/2018 15:11;15/06/2018 15:11
