Date;Team1;Team2;Result;Penalties;STARTs;ENDs;Grupo;Teams;ENDd;ENDfirst;STARTsecond
14/06/2018 17:00;Russia;Saudi Arabia;5 : 0;;14/06/2018 16:45;14/06/2018 19:15;Group A;Russia vs Saudi Arabia;14/06/2018 18:45;14/06/2018 17:45;14/06/2018 18:00
15/06/2018 14:00;Egypt;Uruguay;0 : 1;;15/06/2018 13:45;15/06/2018 16:15;Group A;Egypt vs Uruguay;15/06/2018 15:45;15/06/2018 14:45;15/06/2018 15:00
15/06/2018 17:00;Morocco;Iran;0 : 1;;15/06/2018 16:45;15/06/2018 19:15;Group B;Morocco vs Iran;15/06/2018 18:45;15/06/2018 17:45;15/06/2018 18:00
15/06/2018 20:00;Portugal;Spain;3 : 3;;15/06/2018 19:45;15/06/2018 22:15;Group B;Portugal vs Spain;15/06/2018 21:45;15/06/2018 20:45;15/06/2018 21:00
16/06/2018 12:00;France;Australia;2 : 1;;16/06/2018 11:45;16/06/2018 14:15;Group C;France vs Australia;16/06/2018 13:45;16/06/2018 12:45;16/06/2018 13:00
16/06/2018 15:00;Argentina;Iceland;1 : 1;;16/06/2018 14:45;16/06/2018 17:15;Group D;Argentina vs Iceland;16/06/2018 16:45;16/06/2018 15:45;16/06/2018 16:00
16/06/2018 18:00;Peru;Denmark;0 : 1;;16/06/2018 17:45;16/06/2018 20:15;Group C;Peru vs Denmark;16/06/2018 19:45;16/06/2018 18:45;16/06/2018 19:00
16/06/2018 21:00;Croatia;Nigeria;2 : 0;;16/06/2018 20:45;16/06/2018 23:15;Group D;Croatia vs Nigeria;16/06/2018 22:45;16/06/2018 21:45;16/06/2018 22:00
17/06/2018 14:00;Costa Rica;Serbia;0 : 1;;17/06/2018 13:45;17/06/2018 16:15;Group E;Costa Rica vs Serbia;17/06/2018 15:45;17/06/2018 14:45;17/06/2018 15:00
17/06/2018 17:00;Germany;Mexico;0 : 1;;17/06/2018 16:45;17/06/2018 19:15;Group F;Germany vs Mexico;17/06/2018 18:45;17/06/2018 17:45;17/06/2018 18:00
17/06/2018 20:00;Brazil;Switzerland;1 : 1;;17/06/2018 19:45;17/06/2018 22:15;Group E;Brazil vs Switzerland;17/06/2018 21:45;17/06/2018 20:45;17/06/2018 21:00
18/06/2018 14:00;Sweden;South Korea;1 : 0;;18/06/2018 13:45;18/06/2018 16:15;Group F;Sweden vs South Korea;18/06/2018 15:45;18/06/2018 14:45;18/06/2018 15:00
18/06/2018 17:00;Belgium;Panama;3 : 0;;18/06/2018 16:45;18/06/2018 19:15;Group G;Belgium vs Panama;18/06/2018 18:45;18/06/2018 17:45;18/06/2018 18:00
18/06/2018 20:00;Tunisia;England;1 : 2;;18/06/2018 19:45;18/06/2018 22:15;Group G;Tunisia vs England;18/06/2018 21:45;18/06/2018 20:45;18/06/2018 21:00
19/06/2018 14:00;Colombia;Japan;1 : 2;;19/06/2018 13:45;19/06/2018 16:15;Group H;Colombia vs Japan;19/06/2018 15:45;19/06/2018 14:45;19/06/2018 15:00
19/06/2018 17:00;Poland;Senegal;1 : 2;;19/06/2018 16:45;19/06/2018 19:15;Group H;Poland vs Senegal;19/06/2018 18:45;19/06/2018 17:45;19/06/2018 18:00
19/06/2018 20:00;Russia;Egypt;3 : 1;;19/06/2018 19:45;19/06/2018 22:15;Group A;Russia vs Egypt;19/06/2018 21:45;19/06/2018 20:45;19/06/2018 21:00
20/06/2018 14:00;Portugal;Morocco;1 : 0;;20/06/2018 13:45;20/06/2018 16:15;Group B;Portugal vs Morocco;20/06/2018 15:45;20/06/2018 14:45;20/06/2018 15:00
20/06/2018 17:00;Uruguay;Saudi Arabia;1 : 0;;20/06/2018 16:45;20/06/2018 19:15;Group A;Uruguay vs Saudi Arabia;20/06/2018 18:45;20/06/2018 17:45;20/06/2018 18:00
20/06/2018 20:00;Iran;Spain;0 : 1;;20/06/2018 19:45;20/06/2018 22:15;Group B;Iran vs Spain;20/06/2018 21:45;20/06/2018 20:45;20/06/2018 21:00
21/06/2018 14:00;Denmark;Australia;1 : 1;;21/06/2018 13:45;21/06/2018 16:15;Group C;Denmark vs Australia;21/06/2018 15:45;21/06/2018 14:45;21/06/2018 15:00
21/06/2018 17:00;France;Peru;1 : 0;;21/06/2018 16:45;21/06/2018 19:15;Group C;France vs Peru;21/06/2018 18:45;21/06/2018 17:45;21/06/2018 18:00
21/06/2018 20:00;Argentina;Croatia;0 : 3;;21/06/2018 19:45;21/06/2018 22:15;Group D;Argentina vs Croatia;21/06/2018 21:45;21/06/2018 20:45;21/06/2018 21:00
22/06/2018 14:00;Brazil;Costa Rica;2 : 0;;22/06/2018 13:45;22/06/2018 16:15;Group E;Brazil vs Costa Rica;22/06/2018 15:45;22/06/2018 14:45;22/06/2018 15:00
