"country";"plays";"viewtime";"match";"group";"date"
"PE";861892;11233.4658333333;"Russia vs Saudi Arabia";"Group A";"14/06/2018 17:00"
"AR";55946;757.8325;"Russia vs Saudi Arabia";"Group A";"14/06/2018 17:00"
"BR";48443263;771556.556111111;"Russia vs Saudi Arabia";"Group A";"14/06/2018 17:00"
"CL";55571;720.336666666667;"Russia vs Saudi Arabia";"Group A";"14/06/2018 17:00"
"EC";14416;203.613055555556;"Russia vs Saudi Arabia";"Group A";"14/06/2018 17:00"
"HN";997;14.3561111111111;"Russia vs Saudi Arabia";"Group A";"14/06/2018 17:00"
"MX";140193;2018.69638888889;"Russia vs Saudi Arabia";"Group A";"14/06/2018 17:00"
"PY";7018;99.9047222222222;"Russia vs Saudi Arabia";"Group A";"14/06/2018 17:00"
"UY";8695;121.027777777778;"Russia vs Saudi Arabia";"Group A";"14/06/2018 17:00"
"AE";2294;35.0997222222222;"Russia vs Saudi Arabia";"Group A";"14/06/2018 17:00"
"AL";171;2.21888888888889;"Russia vs Saudi Arabia";"Group A";"14/06/2018 17:00"
"BE";183868;2883.59222222222;"Russia vs Saudi Arabia";"Group A";"14/06/2018 17:00"
"BG";321;4.88388888888889;"Russia vs Saudi Arabia";"Group A";"14/06/2018 17:00"
"BS";211;3.31916666666667;"Russia vs Saudi Arabia";"Group A";"14/06/2018 17:00"
"CH";1088;12.0016666666667;"Russia vs Saudi Arabia";"Group A";"14/06/2018 17:00"
"CO";39148;570.071944444444;"Russia vs Saudi Arabia";"Group A";"14/06/2018 17:00"
"DE";6119;85.9005555555556;"Russia vs Saudi Arabia";"Group A";"14/06/2018 17:00"
"DK";1390;20.6055555555556;"Russia vs Saudi Arabia";"Group A";"14/06/2018 17:00"
"DZ";68;0.827222222222222;"Russia vs Saudi Arabia";"Group A";"14/06/2018 17:00"
"EG";255;3.51305555555556;"Russia vs Saudi Arabia";"Group A";"14/06/2018 17:00"
"ES";12746;195.2;"Russia vs Saudi Arabia";"Group A";"14/06/2018 17:00"
"GB";1330474;21297.1522222222;"Russia vs Saudi Arabia";"Group A";"14/06/2018 17:00"
"GP";4940;79.7455555555556;"Russia vs Saudi Arabia";"Group A";"14/06/2018 17:00"
"IT";258987;3535.725;"Russia vs Saudi Arabia";"Group A";"14/06/2018 17:00"
