"device";"plays";"viewtime";"match";"group";"date";"name"
"1";628379;10081.7955555556;"Russia vs Saudi Arabia";"Group A";"14/06/2018 17:00";"PC( Linux )"
"1";624083;10074.2366666667;"Egypt vs Uruguay";"Group A";"15/06/2018 14:00";"PC( Linux )"
"1";456969;7423.55694444444;"Morocco vs Iran";"Group B";"15/06/2018 17:00";"PC( Linux )"
"1";1039302;16559.9580555556;"Portugal vs Spain";"Group B";"15/06/2018 20:00";"PC( Linux )"
"1";107586;1719.47833333333;"France vs Australia";"Group C";"16/06/2018 12:00";"PC( Linux )"
"1";303620;4900.11;"Argentina vs Iceland";"Group D";"16/06/2018 15:00";"PC( Linux )"
"1";199401;3236.73333333333;"Peru vs Denmark";"Group C";"16/06/2018 18:00";"PC( Linux )"
"1";190164;3090.42555555556;"Croatia vs Nigeria";"Group D";"16/06/2018 21:00";"PC( Linux )"
"1";121124;1963.66333333333;"Costa Rica vs Serbia";"Group E";"17/06/2018 14:00";"PC( Linux )"
"1";290357;4704.01222222222;"Germany vs Mexico";"Group F";"17/06/2018 17:00";"PC( Linux )"
"1";436888;7110.69666666667;"Brazil vs Switzerland";"Group E";"17/06/2018 20:00";"PC( Linux )"
"1";431525;6985.37722222222;"Sweden vs South Korea";"Group F";"18/06/2018 14:00";"PC( Linux )"
"1";510182;8196.29777777778;"Belgium vs Panama";"Group G";"18/06/2018 17:00";"PC( Linux )"
"1";661847;10694.9497222222;"Tunisia vs England";"Group G";"18/06/2018 20:00";"PC( Linux )"
"1";568793;9046.14;"Colombia vs Japan";"Group H";"19/06/2018 14:00";"PC( Linux )"
"1";482627;7709.63055555556;"Poland vs Senegal";"Group H";"19/06/2018 17:00";"PC( Linux )"
"1";729412;11759.0913888889;"Russia vs Egypt";"Group A";"19/06/2018 20:00";"PC( Linux )"
"1";764245;12244.0294444444;"Portugal vs Morocco";"Group B";"20/06/2018 14:00";"PC( Linux )"
"1";529689;8548.01277777778;"Uruguay vs Saudi Arabia";"Group A";"20/06/2018 17:00";"PC( Linux )"
"1";779438;12636.8380555556;"Iran vs Spain";"Group B";"20/06/2018 20:00";"PC( Linux )"
"1";523254;8446.26055555555;"Denmark vs Australia";"Group C";"21/06/2018 14:00";"PC( Linux )"
"1";622669;10072.2572222222;"France vs Peru";"Group C";"21/06/2018 17:00";"PC( Linux )"
"1";994360;15905.1922222222;"Argentina vs Croatia";"Group D";"21/06/2018 20:00";"PC( Linux )"
"1";543521;8553.88861111111;"Brazil vs Costa Rica";"Group E";"22/06/2018 14:00";"PC( Linux )"
"1";298726;4533.71611111111;"Nigeria vs Iceland";"Group D";"22/06/2018 17:00";"PC( Linux )"
"1";569992;9211.66444444444;"Serbia vs Switzerland";"Group E";"22/06/2018 20:00";"PC( Linux )"
"1";176055;2829.20611111111;"Belgium vs Tunisia";"Group G";"23/06/2018 14:00";"PC( Linux )"
"1";203376;3297.4725;"South Korea vs Mexico";"Group F";"23/06/2018 17:00";"PC( Linux )"
"1";346371;5605.75694444444;"Germany vs Sweden";"Group F";"23/06/2018 20:00";"PC( Linux )"
"1";124097;1997.78944444444;"England vs Panama";"Group G";"24/06/2018 14:00";"PC( Linux )"
