"matchesName";"matchesMax";"matchesAvg";"matchesSum";"matchesMaxTime";"matchesSumTime";"matchesGroup";"matchesDay"
"Russia vs Saudi Arabia";425012;385232.688679245;40834665;6674.91277777778;648119.625555556;"Group A";"14/06/2018 17:00"
"Egypt vs Uruguay";536964;404758.198113208;42904369;8688.09972222222;687222.510277778;"Group A";"15/06/2018 14:00"
"Morocco vs Iran";340082;278363.433962264;29506524;5515.60083333333;474451.365277778;"Group B";"15/06/2018 17:00"
"Portugal vs Spain";815637;728751.716981132;77247682;12784.0077777778;1219963.91861111;"Group B";"15/06/2018 20:00"
"France vs Australia";189015;105663.009433962;11200279;3020.32722222222;177099.128055556;"Group C";"16/06/2018 12:00"
"Argentina vs Iceland";367614;305933;32428898;5865.08083333333;515329.411388889;"Group D";"16/06/2018 15:00"
"Peru vs Denmark";211459;174876.660377358;18536926;3401.43555555556;294340.4825;"Group C";"16/06/2018 18:00"
"Croatia vs Nigeria";169665;154353.113207547;16361430;2712.14277777778;261115.713888889;"Group D";"16/06/2018 21:00"
"Costa Rica vs Serbia";137280;103895.386792453;11012911;2200.86333333333;175318.101666667;"Group E";"17/06/2018 14:00"
"Germany vs Mexico";273823;226710.820754717;24031347;4409.54305555556;381444.7175;"Group F";"17/06/2018 17:00"
"Brazil vs Switzerland";350554;328064.358490566;34774822;5695.66361111111;557811.385277778;"Group E";"17/06/2018 20:00"
"Sweden vs South Korea";385371;286933.301886792;30414930;6211.13861111111;488989.408055556;"Group F";"18/06/2018 14:00"
"Belgium vs Panama";440962;337782.20754717;35804914;6984.26694444444;570613.01;"Group G";"18/06/2018 17:00"
"Tunisia vs England";508684;439573.283018868;46594768;8246.44944444444;748355.89;"Group G";"18/06/2018 20:00"
"Colombia vs Japan";530474;404807.801886792;42909627;8498.18555555556;680047.576111111;"Group H";"19/06/2018 14:00"
"Poland vs Senegal";409678;313644.981132075;33246368;6573.735;528229.9175;"Group H";"19/06/2018 17:00"
"Russia vs Egypt";599070;504158.452830189;53440796;9532.01972222222;857873.013333333;"Group A";"19/06/2018 20:00"
"Portugal vs Morocco";692716;574462.745283019;60893051;11213.9208333333;968018.133611111;"Group B";"20/06/2018 14:00"
"Uruguay vs Saudi Arabia";457854;361445.216981132;38313193;7430.14027777778;613942.040833333;"Group A";"20/06/2018 17:00"
"Iran vs Spain";678254;567404.773584906;60144906;10898.9213888889;968389.796944444;"Group B";"20/06/2018 20:00"
"Denmark vs Australia";486274;373521.028301887;39593229;7895.41944444444;634924.863055556;"Group C";"21/06/2018 14:00"
"France vs Peru";558664;440301.632075472;46671973;9076.325;747332.416666667;"Group C";"21/06/2018 17:00"
"Argentina vs Croatia";957726;747436.339622642;79228252;15146.6;1263451.85555556;"Group D";"21/06/2018 20:00"
"Brazil vs Costa Rica";564277;416462.990566038;44145077;9134.51388888889;694102.905;"Group E";"22/06/2018 14:00"
